"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"689","PLD-C-MIN-3","","","soil metagenome",2017,"0-10 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Manitoba","49.517 N 96.133 W","","replicate  3"
"691","PLD-C-MIN-4","","","soil metagenome",2017,"0-10 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Manitoba","49.517 N 96.133 W","","replicate  4"
"693","PLD-C-MIN-5","","","soil metagenome",2017,"0-10 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Manitoba","49.517 N 96.133 W","","replicate  5"
"701","ALN-A1-MIN-1","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  1"
"703","ALN-A1-MIN-2","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  2"
"705","ALN-A1-MIN-3","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  3"
"713","ALN-A2-MIN-1","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  1"
"715","ALN-A2-MIN-2","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  2"
"717","ALN-A2-MIN-3","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  3"
"725","ALN-C-MIN-1","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  1"
"727","ALN-C-MIN-2","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  2"
"729","ALN-C-MIN-3","","","soil metagenome",2017,"0-10 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.086 N 122.09 W","","replicate  3"
"737","ALS-A1-MIN-1","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  1"
"739","ALS-A1-MIN-2","","","soil metagenome",2017,"0-10 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: British Columbia","54.071 N 122.08 W","5 t/ha UNBC Bottom wood ash","replicate  2"
