"","sample_name","library_id"
"377","ILK-A2-LM-1","Pinkney-Ashnet-ILK-A2-LM-1B_S14"
"379","ILK-A2-LM-2","Pinkney-Ashnet-ILK-A2-LM-2A_S37"
"381","ILK-A2-LM-2","Pinkney-Ashnet-ILK-A2-LM-2B_S38"
"383","ILK-A2-MIN-1","Pinkney-Ashnet-ILK-A2-MIN-1A_S17"
"385","ILK-A2-MIN-1","Pinkney-Ashnet-ILK-A2-MIN-1B_S18"
"387","ILK-A3-FH-1","Pinkney-Ashnet-ILK-A3-FH-1A_S21"
"389","ILK-A3-FH-1","Pinkney-Ashnet-ILK-A3-FH-1B_S22"
"391","ILK-A3-LM-1","Pinkney-Ashnet-ILK-A3-LM-1A_S19"
"393","ILK-A3-LM-1","Pinkney-Ashnet-ILK-A3-LM-1B_S20"
"395","ILK-A3-MIN-1","Pinkney-Ashnet-ILK-A3-MIN-1A_S23"
"397","ILK-A3-MIN-1","Pinkney-Ashnet-ILK-A3-MIN-1B_S24"
"399","ILK-C-FH-1","Pinkney-Ashnet-ILK-C-FH-1A_S3"
"401","ILK-C-FH-1","Pinkney-Ashnet-ILK-C-FH-1B_S4"
"403","ILK-C-FH-2","Pinkney-Ashnet-ILK-C-FH-2A_S27"
"405","ILK-C-FH-2","Pinkney-Ashnet-ILK-C-FH-2B_S28"
"407","ILK-C-LM-1","Pinkney-Ashnet-ILK-C-LM-1A_S1"
